instrument,Date,time,CLOSE,HIGH,LOW,OPEN,VOLUME
NIFTY,20160519,12:57,7812.55,7812.65,7808.20,7809.45,88575,0
NIFTY,20160519,12:58,7808.55,7810.30,7806.30,7808.75,51675,0
NIFTY,20160519,12:59,7809.00,7813.25,7808.95,7813.10,39675,0
NIFTY,20160519,13:00,7813.00,7815.75,7812.70,7815.30,62325,0
NIFTY,20160519,13:01,7814.20,7814.75,7812.20,7812.20,53175,0
NIFTY,20160519,13:02,7811.95,7814.95,7811.95,7814.15,57675,0
NIFTY,20160519,13:03,7813.70,7815.40,7813.40,7815.10,42525,0
NIFTY,20160519,13:04,7815.15,7816.00,7814.50,7815.75,19725,0
NIFTY,20160519,13:05,7815.85,7815.85,7812.80,7813.00,28800,0
NIFTY,20160519,13:06,7812.90,7814.50,7812.15,7813.35,18225,0
NIFTY,20160519,13:07,7813.30,7813.95,7812.25,7813.95,27750,0
NIFTY,20160519,13:08,7814.35,7815.85,7813.45,7815.85,23775,0
NIFTY,20160519,13:09,7815.80,7818.05,7815.80,7818.05,18525,0
NIFTY,20160519,13:10,7817.75,7820.45,7817.75,7820.40,37950,0
NIFTY,20160519,13:11,7820.45,7821.00,7818.55,7820.65,24000,0
NIFTY,20160519,13:12,7820.30,7820.65,7818.35,7819.30,35550,0
NIFTY,20160519,13:13,7818.85,7819.00,7815.95,7816.65,27225,0
NIFTY,20160519,13:14,7816.80,7817.30,7815.05,7816.45,19050,0
NIFTY,20160519,13:15,7816.65,7818.90,7816.10,7817.90,23175,0
NIFTY,20160519,13:16,7818.00,7818.50,7817.25,7817.60,10500,0
NIFTY,20160519,13:17,7817.55,7819.20,7816.75,7818.35,12525,0
NIFTY,20160519,13:18,7818.20,7821.45,7817.90,7820.40,15450,0
NIFTY,20160519,13:19,7820.30,7821.95,7820.25,7821.90,7350,0
NIFTY,20160519,13:20,7821.85,7826.20,7821.70,7826.05,69150,0
NIFTY,20160519,13:21,7826.60,7830.45,7826.60,7829.00,74175,0
NIFTY,20160519,13:22,7829.10,7829.95,7827.65,7829.65,28275,0
NIFTY,20160519,13:23,7829.60,7833.30,7829.20,7832.85,43875,0
NIFTY,20160519,13:24,7832.90,7833.30,7831.80,7832.75,37275,0
NIFTY,20160519,13:25,7833.25,7833.25,7830.85,7831.35,15225,0
NIFTY,20160519,13:26,7831.40,7831.90,7829.50,7830.30,14475,0
NIFTY,20160519,13:27,7831.30,7831.30,7827.75,7828.20,17100,0
NIFTY,20160519,13:28,7828.15,7828.80,7826.75,7826.75,15150,0
NIFTY,20160519,13:29,7826.60,7828.75,7826.45,7827.65,14475,0
NIFTY,20160519,13:30,7827.55,7828.75,7827.20,7827.45,9750,0
NIFTY,20160519,13:31,7828.10,7828.85,7827.10,7827.35,10050,0
NIFTY,20160519,13:32,7827.50,7827.65,7825.30,7827.30,10350,0
NIFTY,20160519,13:33,7827.05,7829.80,7826.80,7828.85,10425,0
NIFTY,20160519,13:34,7828.75,7831.65,7828.05,7831.65,18450,0
NIFTY,20160519,13:35,7831.90,7836.70,7831.85,7834.90,149850,0
NIFTY,20160519,13:36,7835.25,7836.45,7834.65,7835.85,41625,0
NIFTY,20160519,13:37,7836.60,7837.25,7835.20,7836.70,93975,0
NIFTY,20160519,13:38,7836.65,7837.40,7835.60,7835.85,25050,0
NIFTY,20160519,13:39,7835.80,7836.55,7834.25,7834.45,20550,0
NIFTY,20160519,13:40,7834.70,7835.95,7833.45,7833.65,18450,0
NIFTY,20160519,13:41,7833.80,7835.25,7833.45,7833.80,17025,0
